12|Administrative and financial supervisors and administrative occupations
95|Assemblers in manufacturing
34|Assisting occupations in support of health services
44|Care providers and educational, legal and public protection support occupations
15|Distribution, tracking and scheduling co-ordination occupations
13|Finance, insurance and related business administrative occupations
86|Harvesting, landscaping and natural resources labourers
72|Industrial, electrical and construction trades
96|Labourers in processing, manufacturing and utilities
73|Maintenance and equipment operation trades
06|Middle management occupations in retail and wholesale trade and customer services
07|Middle management occupations in trades, transportation, production and utilities
08|Middle management occupations in trades, transportation, production and utilities
09|Middle management occupations in trades, transportation, production and utilities
43|Occupations in front-line public protection services
14|Office support occupations
74|Other installers, repairers and servicers and material handlers
42|Paraprofessional occupations in legal, social, community and education services
94|Processing and manufacturing machine operators and related production workers
92|Processing, manufacturing and utilities supervisors and central control operators
51|Professional occupations in art and culture
11|Professional occupations in business and finance
40|Professional occupations in education services
31|Professional occupations in health (except nursing)
41|Professional occupations in law and social, community and government services
21|Professional occupations in natural and applied sciences
30|Professional occupations in nursing
62|Retail sales supervisors and specialized sales occupations
64|Sales representatives and salespersons
66|Sales support occupations
00|Senior management occupations
65|Service representatives and other customer and personal services occupations
63|Service supervisors and specialized service occupations
67|Service support and other service occupations, n.e.c.
01|Specialized middle management occupations
02|Specialized middle management occupations
03|Specialized middle management occupations
04|Specialized middle management occupations
05|Specialized middle management occupations
82|Supervisors and technical occupations in natural resources, agriculture and related production
52|Technical occupations in art, culture, recreation and sport
32|Technical occupations in health
22|Technical occupations related to natural and applied sciences
76|Trades helpers, construction labourers and related occupations
75|Transport and heavy equipment operation and related maintenance occupations
84|Workers in natural resources, agriculture and related production
